Average number of iterations: 268.418
Median of last 9 normalized drift values: 0.015419584715567022
0 => drift 0.025368477130317868, normalized 0.0021140397608598225
1 => drift 0.04432259538496687, normalized 0.004029326853178806
2 => drift 0.05738308579845342, normalized 0.005738308579845342
3 => drift 0.0706729039222742, normalized 0.007852544880252688
4 => drift 0.0732892838155996, normalized 0.00916116047694995
5 => drift 0.07462106490478042, normalized 0.010660152129254346
6 => drift 0.07186166629238716, normalized 0.011976944382064527
7 => drift 0.06341270885409815, normalized 0.01268254177081963
8 => drift 0.06167833886226809, normalized 0.015419584715567022
9 => drift 0.04774561921638118, normalized 0.015915206405460392
10 => drift 0.034450162798025416, normalized 0.017225081399012708
11 => drift 0.017392078326657765, normalized 0.017392078326657765
