Average number of iterations: 159899.421
Median of last 9 normalized drift values: 4.004471072041356E-5
0 => drift 1.178595096090126, normalized 0.0014732438701126574
1 => drift 1.6722972972972974, normalized 0.0020929878564421743
2 => drift 6.868421052631579, normalized 0.008607043925603483
3 => drift NaN, normalized NaN
4 => drift NaN, normalized NaN
5 => drift NaN, normalized NaN
6 => drift NaN, normalized NaN
7 => drift NaN, normalized NaN
8 => drift NaN, normalized NaN
9 => drift NaN, normalized NaN
10 => drift NaN, normalized NaN
11 => drift NaN, normalized NaN
12 => drift NaN, normalized NaN
13 => drift NaN, normalized NaN
14 => drift NaN, normalized NaN
15 => drift NaN, normalized NaN
16 => drift NaN, normalized NaN
17 => drift NaN, normalized NaN
18 => drift NaN, normalized NaN
19 => drift NaN, normalized NaN
20 => drift NaN, normalized NaN
21 => drift NaN, normalized NaN
22 => drift NaN, normalized NaN
23 => drift NaN, normalized NaN
24 => drift NaN, normalized NaN
25 => drift NaN, normalized NaN
26 => drift NaN, normalized NaN
27 => drift NaN, normalized NaN
28 => drift NaN, normalized NaN
29 => drift NaN, normalized NaN
30 => drift NaN, normalized NaN
31 => drift NaN, normalized NaN
32 => drift NaN, normalized NaN
33 => drift NaN, normalized NaN
34 => drift NaN, normalized NaN
35 => drift NaN, normalized NaN
36 => drift NaN, normalized NaN
37 => drift NaN, normalized NaN
38 => drift NaN, normalized NaN
39 => drift NaN, normalized NaN
40 => drift NaN, normalized NaN
41 => drift NaN, normalized NaN
42 => drift NaN, normalized NaN
43 => drift NaN, normalized NaN
44 => drift NaN, normalized NaN
45 => drift NaN, normalized NaN
46 => drift NaN, normalized NaN
47 => drift NaN, normalized NaN
48 => drift NaN, normalized NaN
49 => drift NaN, normalized NaN
50 => drift NaN, normalized NaN
51 => drift NaN, normalized NaN
52 => drift NaN, normalized NaN
53 => drift NaN, normalized NaN
54 => drift NaN, normalized NaN
55 => drift NaN, normalized NaN
56 => drift NaN, normalized NaN
57 => drift NaN, normalized NaN
58 => drift NaN, normalized NaN
59 => drift NaN, normalized NaN
60 => drift NaN, normalized NaN
61 => drift NaN, normalized NaN
62 => drift NaN, normalized NaN
63 => drift NaN, normalized NaN
64 => drift NaN, normalized NaN
65 => drift NaN, normalized NaN
66 => drift NaN, normalized NaN
67 => drift NaN, normalized NaN
68 => drift NaN, normalized NaN
69 => drift NaN, normalized NaN
70 => drift NaN, normalized NaN
71 => drift NaN, normalized NaN
72 => drift NaN, normalized NaN
73 => drift NaN, normalized NaN
74 => drift NaN, normalized NaN
75 => drift NaN, normalized NaN
76 => drift NaN, normalized NaN
77 => drift NaN, normalized NaN
78 => drift NaN, normalized NaN
79 => drift NaN, normalized NaN
80 => drift NaN, normalized NaN
81 => drift NaN, normalized NaN
82 => drift NaN, normalized NaN
83 => drift NaN, normalized NaN
84 => drift NaN, normalized NaN
85 => drift NaN, normalized NaN
86 => drift NaN, normalized NaN
87 => drift NaN, normalized NaN
88 => drift NaN, normalized NaN
89 => drift NaN, normalized NaN
90 => drift NaN, normalized NaN
91 => drift NaN, normalized NaN
92 => drift NaN, normalized NaN
93 => drift NaN, normalized NaN
94 => drift NaN, normalized NaN
95 => drift NaN, normalized NaN
96 => drift NaN, normalized NaN
97 => drift NaN, normalized NaN
98 => drift NaN, normalized NaN
99 => drift NaN, normalized NaN
100 => drift NaN, normalized NaN
101 => drift NaN, normalized NaN
102 => drift NaN, normalized NaN
103 => drift NaN, normalized NaN
104 => drift NaN, normalized NaN
105 => drift NaN, normalized NaN
106 => drift NaN, normalized NaN
107 => drift NaN, normalized NaN
108 => drift NaN, normalized NaN
109 => drift NaN, normalized NaN
110 => drift NaN, normalized NaN
111 => drift NaN, normalized NaN
112 => drift NaN, normalized NaN
113 => drift NaN, normalized NaN
114 => drift NaN, normalized NaN
115 => drift NaN, normalized NaN
116 => drift NaN, normalized NaN
117 => drift NaN, normalized NaN
118 => drift NaN, normalized NaN
119 => drift NaN, normalized NaN
120 => drift NaN, normalized NaN
121 => drift NaN, normalized NaN
122 => drift NaN, normalized NaN
123 => drift NaN, normalized NaN
124 => drift NaN, normalized NaN
125 => drift NaN, normalized NaN
126 => drift NaN, normalized NaN
127 => drift NaN, normalized NaN
128 => drift NaN, normalized NaN
129 => drift NaN, normalized NaN
130 => drift NaN, normalized NaN
131 => drift NaN, normalized NaN
132 => drift NaN, normalized NaN
133 => drift NaN, normalized NaN
134 => drift NaN, normalized NaN
135 => drift NaN, normalized NaN
136 => drift NaN, normalized NaN
137 => drift NaN, normalized NaN
138 => drift NaN, normalized NaN
139 => drift NaN, normalized NaN
140 => drift NaN, normalized NaN
141 => drift NaN, normalized NaN
142 => drift NaN, normalized NaN
143 => drift NaN, normalized NaN
144 => drift NaN, normalized NaN
145 => drift NaN, normalized NaN
146 => drift NaN, normalized NaN
147 => drift NaN, normalized NaN
148 => drift NaN, normalized NaN
149 => drift NaN, normalized NaN
150 => drift NaN, normalized NaN
