Average number of iterations: 3855.392
Median of last 9 normalized drift values: 0.0021613770378078392
0 => drift 0.003259038567908684, normalized 3.2590385679086844E-5
1 => drift 0.006482971860466596, normalized 6.548456424713733E-5
2 => drift 0.00989583844651044, normalized 1.0097794333173919E-4
3 => drift 0.013601372103226836, normalized 1.402203309611014E-4
4 => drift 0.015593443238927246, normalized 1.6243170040549214E-4
5 => drift 0.017487702546296297, normalized 1.8408107943469786E-4
6 => drift 0.021392537091040678, normalized 2.2758018181958167E-4
7 => drift 0.02454330957651237, normalized 2.639065545861545E-4
8 => drift 0.026128462642092485, normalized 2.840050287183966E-4
9 => drift 0.02875980447879959, normalized 3.1604180745933613E-4
10 => drift 0.03233830845771144, normalized 3.5931453841901603E-4
11 => drift 0.03130346619352386, normalized 3.5172433925307706E-4
12 => drift 0.0336783988957902, normalized 3.8270907836125223E-4
13 => drift 0.035777084006172175, normalized 4.1123085064565716E-4
14 => drift 0.04382555209089744, normalized 5.095994429174121E-4
15 => drift 0.043790348065550086, normalized 5.151805654770599E-4
16 => drift 0.04174040661285449, normalized 4.96909602533982E-4
17 => drift 0.050281517747858016, normalized 6.058014186488918E-4
18 => drift 0.04722831790859651, normalized 5.759550964462989E-4
19 => drift 0.04517565786483661, normalized 5.577241711708224E-4
20 => drift 0.05112311930493749, normalized 6.390389913117186E-4
21 => drift 0.052778482618624716, normalized 6.68082058463604E-4
22 => drift 0.05751339159853397, normalized 7.373511743401791E-4
23 => drift 0.05597800655124006, normalized 7.269870980680527E-4
24 => drift 0.05931233817065093, normalized 7.80425502245407E-4
25 => drift 0.05852326685660019, normalized 7.803102247546692E-4
26 => drift 0.05896184821586033, normalized 7.967817326467612E-4
27 => drift 0.06203923528676746, normalized 8.498525381748967E-4
28 => drift 0.05989752046645857, normalized 8.319100064785913E-4
29 => drift 0.059042164270046306, normalized 8.315797784513564E-4
30 => drift 0.06380429985499023, normalized 9.114899979284318E-4
31 => drift 0.0619441888991107, normalized 8.977418681030536E-4
32 => drift 0.062168978562421186, normalized 9.14249684741488E-4
33 => drift 0.0653556211078335, normalized 9.754570314602014E-4
34 => drift 0.06738162687171186, normalized 0.0010209337404804826
35 => drift 0.06600638128157404, normalized 0.001015482788947293
36 => drift 0.06781514902925896, normalized 0.0010596117035821713
37 => drift 0.07267275842375785, normalized 0.0011535358479961564
38 => drift 0.06737102085620197, normalized 0.0010866293686484188
39 => drift 0.07014325029990827, normalized 0.0011498893491788242
40 => drift 0.0724893917963225, normalized 0.0012081565299387083
41 => drift 0.07115837556205838, normalized 0.001206074162068786
42 => drift 0.07177442324124181, normalized 0.0012374900558834794
43 => drift 0.0692208165612421, normalized 0.001214400290548107
44 => drift 0.07028776978417266, normalized 0.0012551387461459402
45 => drift 0.06904094606603323, normalized 0.0012552899284733313
46 => drift 0.06741031467327688, normalized 0.0012483391606162384
47 => drift 0.06710439921208142, normalized 0.0012661207398505928
48 => drift 0.066652895407285, normalized 0.0012817864501400962
49 => drift 0.06737681348843289, normalized 0.0013211139899692722
50 => drift 0.06902086677367576, normalized 0.0013804173354735152
51 => drift 0.06558825528444233, normalized 0.001338535822131476
52 => drift 0.068714632174616, normalized 0.0014315548369711667
53 => drift 0.06840591618734593, normalized 0.0014554450252626794
54 => drift 0.06668889629876626, normalized 0.0014497586151905708
55 => drift 0.06465144150742393, normalized 0.001436698700164976
56 => drift 0.06801225686117772, normalized 0.001545733110481312
57 => drift 0.06213093709884467, normalized 0.0014449055139266202
58 => drift 0.06598525035580283, normalized 0.0015710773894238768
59 => drift 0.06291369854378112, normalized 0.0015344804522873445
60 => drift 0.06280131946206546, normalized 0.0015700329865516367
61 => drift 0.06053579056569232, normalized 0.001552199758094675
62 => drift 0.058879335902757186, normalized 0.0015494562079672945
63 => drift 0.06002562069175868, normalized 0.0016223140727502346
64 => drift 0.05536255858836504, normalized 0.0015378488496768069
65 => drift 0.05737938909506138, normalized 0.0016394111170017537
66 => drift 0.054056993691537956, normalized 0.0015899115791628811
67 => drift 0.0544757733369833, normalized 0.0016507810102116152
68 => drift 0.05145985401459854, normalized 0.0016081204379562043
69 => drift 0.05230514781889601, normalized 0.0016872628328676131
70 => drift 0.05080392459033236, normalized 0.0016934641530110786
71 => drift 0.051405175899716944, normalized 0.0017725922724040326
72 => drift 0.051758976218848764, normalized 0.0018485348649588844
73 => drift 0.047916867122101414, normalized 0.0017746987823000523
74 => drift 0.04517961876832845, normalized 0.0017376776449357094
75 => drift 0.04678444569078333, normalized 0.001871377827631333
76 => drift 0.04479073909171861, normalized 0.0018662807954882754
77 => drift 0.040802013284376416, normalized 0.0017740005775815832
78 => drift 0.043417550290177596, normalized 0.001973525013189891
79 => drift 0.039702430679874286, normalized 0.0018905919371368708
80 => drift 0.037063302478351746, normalized 0.0018531651239175873
81 => drift 0.03379416282642089, normalized 0.0017786401487589944
82 => drift 0.03662262136994369, normalized 0.0020345900761079825
83 => drift 0.033407049993298486, normalized 0.0019651205878410873
84 => drift 0.03322469070107756, normalized 0.0020765431688173474
85 => drift 0.03236359016705837, normalized 0.0021575726778038915
86 => drift 0.02730337699662853, normalized 0.001950241214044895
87 => drift 0.02599984305929743, normalized 0.001999987927638264
88 => drift 0.024460005917743367, normalized 0.002038333826478614
89 => drift 0.022185992200753485, normalized 0.0020169083818866802
90 => drift 0.020621787639463457, normalized 0.002062178763946346
91 => drift 0.019086740542606038, normalized 0.0021207489491784485
92 => drift 0.017291016302462714, normalized 0.0021613770378078392
93 => drift 0.014721485411140583, normalized 0.002103069344448655
94 => drift 0.012527829138523074, normalized 0.002087971523087179
95 => drift 0.010622882349180643, normalized 0.0021245764698361288
96 => drift 0.008971506495370703, normalized 0.002242876623842676
97 => drift 0.006618699316266497, normalized 0.0022062331054221655
98 => drift 0.004213952112259346, normalized 0.002106976056129673
99 => drift 0.002341134770073823, normalized 0.002341134770073823
